Name,Event
D001_03.avi,Running
D001_04.avi,Running
D013_02.avi,Riding
D013_03.avi,Riding
D014_01.avi,Running
D014_02.avi,Running
D029_01.avi,Fighting
D031_01.avi,Fighting
D031_07.avi,Littering
D031_09.avi,Running
D036_07.avi,Jumping
D042_07.avi,Fighting
D043_01.avi,Fighting
D047_05.avi,Riding
D068_09.avi,Running
D068_10.avi,Stealing
D076_03.avi,Chasing
D076_05.avi,Fighting
D077_01.avi,Stealing
D077_03.avi,Stealing
D077_03.avi,Chasing
D077_06.avi,Fighting
D148_04.avi,Pickpockering
D149_03.avi,Pickpockering
D149_05.avi,Pickpockering
D149_07.avi,Pickpockering
D158_01.avi,Stealing
D158_02.avi,Running
D158_13.avi,Pickpockering
D158_17.avi,Guiding
D235_01.avi,Riding
D235_07.avi,Riding
 D248_01.avi,Fighting
 D248_03.avi,Fighting
 D248_04.avi,Fighting
